gvkey	date	permco
1487	200610	137
1487	200611	137
1487	200612	137
1487	200701	137
1487	200702	137
1487	200703	137
1487	200704	137
1487	200705	137
1487	200706	137
1487	200707	137
1487	200708	137
1487	200709	137
1487	200710	137
1487	200711	137
1487	200712	137
1487	200801	137
1487	200802	137
1487	200803	137
1487	200804	137
1487	200805	137
1487	200806	137
1487	200807	137
1487	200808	137
1487	200809	137
1487	200810	137
1487	200811	137
1487	200812	137
1487	200901	137
1487	200902	137
1487	200903	137
1487	200904	137
1487	200905	137
1487	200906	137
1487	200907	137
1487	200908	137
1487	200909	137
1487	200910	137
1487	200911	137
1487	200912	137
1487	201001	137
1487	201002	137
1487	201003	137
1487	201004	137
1487	201005	137
1487	201006	137
1487	201007	137
1487	201008	137
1487	201009	137
1487	201010	137
1487	201011	137
1487	201012	137
1487	201101	137
1487	201102	137
1487	201103	137
1487	201104	137
1487	201105	137
1487	201106	137
1487	201107	137
1487	201108	137
1487	201109	137
1487	201110	137
1487	201111	137
1487	201112	137
1487	201201	137
1487	201202	137
1487	201203	137
1487	201204	137
1487	201205	137
1487	201206	137
1487	201207	137
1487	201208	137
1487	201209	137
1487	201210	137
1487	201211	137
1487	201212	137
1487	201301	137
1487	201302	137
1487	201303	137
1487	201304	137
1487	201305	137
1487	201306	137
1487	201307	137
1487	201308	137
1487	201309	137
1487	201310	137
1487	201311	137
1487	201312	137
1487	201401	137
1487	201402	137
1487	201403	137
1487	201404	137
1487	201405	137
1487	201406	137
1487	201407	137
1487	201408	137
1487	201409	137
1487	201410	137
1487	201411	137
1487	201412	137
1487	201501	137
1487	201502	137
1487	201503	137
1487	201504	137
1487	201505	137
1487	201506	137
1487	201507	137
1487	201508	137
1487	201509	137
1487	201510	137
1487	201511	137
1487	201512	137
1487	201601	137
1487	201602	137
1487	201603	137
1487	201604	137
1487	201605	137
1487	201606	137
1487	201607	137
1487	201608	137
1487	201609	137
1487	201610	137
1487	201611	137
1487	201612	137
1487	201701	137
1487	201702	137
1487	201703	137
1487	201704	137
1487	201705	137
1487	201706	137
1487	201707	137
1487	201708	137
1487	201709	137
1487	201710	137
1487	201711	137
1487	201712	137
1487	201801	137
1487	201802	137
1487	201803	137
1487	201804	137
1487	201805	137
1487	201806	137
1487	201807	137
1487	201808	137
1487	201809	137
1487	201810	137
1487	201811	137
1487	201812	137
1487	201901	137
7647	200001	3151
7647	200002	3151
7647	200003	3151
7647	200004	3151
7647	200005	3151
7647	200006	3151
7647	200007	3151
7647	200008	3151
7647	200009	3151
7647	200010	3151
7647	200011	3151
7647	200012	3151
7647	200101	3151
7647	200102	3151
7647	200103	3151
7647	200104	3151
7647	200105	3151
7647	200106	3151
7647	200107	3151
7647	200108	3151
7647	200109	3151
7647	200110	3151
7647	200111	3151
7647	200112	3151
7647	200201	3151
7647	200202	3151
