,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1993-03,-0.14,4.02,9.16,3.43,2.53,8.52,7.0,4.16,-0.08,20.4,-8.64,16.18,8.06,2.92,12.53,-0.35,6.81,0.56,8.0,6.09
1993-04,-1.42,0.78,-2.07,4.05,4.81,23.96,-2.16,-1.48,7.41,2.05,20.35,17.19,-0.99,4.49,5.52,7.96,0.27,9.16,2.25,2.65
1993-05,2.16,0.71,-0.57,1.46,2.49,3.8,-1.61,0.3,9.18,1.8,3.79,3.41,2.0,2.47,-2.04,3.71,-2.27,7.77,7.34,0.51
1993-06,-3.22,-2.91,-0.87,-0.65,-1.05,-9.63,-3.4,-4.41,-3.84,-1.66,-5.37,-3.18,-2.36,1.49,-5.43,-3.79,-2.35,-8.44,-1.81,-2.19
1993-07,6.5,9.69,-0.09,-0.95,-2.32,2.21,1.96,4.54,-2.07,-1.54,2.61,7.74,1.6,12.39,5.79,0.15,-6.69,4.14,1.59,1.26
1993-08,10.61,4.19,1.01,1.44,4.42,12.44,8.66,10.71,6.87,6.36,12.64,2.39,10.57,10.14,8.8,13.34,21.14,7.51,6.94,6.35
1993-09,-2.34,-4.0,0.56,-4.76,3.42,0.08,-0.47,1.51,2.59,-0.52,-5.31,-5.73,0.34,-2.16,-2.5,4.41,-2.44,2.9,3.74,-1.29
1993-10,7.29,12.01,3.56,9.35,3.83,10.83,0.72,5.16,23.42,4.4,-4.94,-0.85,5.23,14.06,10.03,4.8,5.22,9.06,4.7,3.22
1993-11,-3.75,-6.27,1.61,-2.5,-1.83,-5.06,-2.69,-1.93,-0.91,1.81,-9.86,-15.88,-2.16,-8.12,-7.58,-0.49,-8.85,-12.0,1.6,0.36
1993-12,8.09,11.35,7.32,4.34,6.68,7.72,9.21,5.95,30.1,3.36,13.24,2.5,5.44,11.23,6.76,21.46,9.41,9.44,8.8,7.3
1994-01,3.82,11.09,5.37,5.76,9.89,25.04,5.2,-1.19,-3.83,13.78,9.78,17.17,5.29,11.77,14.92,-3.74,13.74,20.34,9.92,5.28
1994-02,-1.64,-5.05,-0.54,-4.41,-0.67,-1.27,-2.55,-1.62,-10.44,-7.49,-1.72,3.93,-2.27,-5.42,1.87,-1.98,-4.72,-5.37,-6.07,-5.59
1994-03,-3.72,-7.3,-0.73,-4.17,-1.77,-3.98,-5.0,3.57,-10.47,-4.86,17.33,-3.03,-3.23,-9.34,-7.24,-8.82,-4.33,-7.25,-1.53,-6.44
1994-04,-2.57,3.58,5.69,-0.43,1.94,7.24,3.44,6.36,-0.19,4.68,11.75,3.64,5.44,5.91,1.58,9.54,3.63,8.47,-1.43,3.86
1994-05,-2.01,3.92,-1.86,1.4,-7.56,-5.65,-4.97,-5.64,6.93,-4.57,-7.97,1.77,-2.5,5.89,0.73,1.94,0.0,-2.31,0.41,-5.49
1994-06,8.14,-5.44,-1.96,-6.77,5.15,-1.15,-2.9,0.76,-8.11,-0.1,-6.24,5.5,0.02,-5.83,-3.43,-2.11,-4.59,-5.47,1.27,0.56
1994-07,-2.14,5.29,4.9,4.22,4.6,10.88,9.39,4.9,8.13,6.4,4.21,-3.86,6.92,3.14,11.68,3.78,5.34,5.47,-2.09,5.25
1994-08,2.48,4.41,1.29,6.54,-8.73,8.53,0.3,3.33,5.51,5.76,-3.67,0.76,1.98,7.64,-0.33,3.53,-0.68,-0.44,3.64,6.54
1994-09,-4.24,-4.57,-4.85,2.14,0.38,1.34,-6.54,-6.13,-3.19,-0.19,0.21,-2.64,-2.74,-2.02,-6.34,1.06,-2.35,0.75,-0.68,-4.01
1994-10,-2.04,1.65,3.78,-1.04,1.27,10.97,3.82,5.97,0.49,2.08,-4.87,3.17,6.79,6.32,5.98,3.13,3.0,9.65,1.34,5.96
1994-11,-2.3,-3.2,-2.03,-5.99,-3.03,-10.84,-1.73,-5.94,-12.56,-4.68,-6.21,-5.81,-5.11,-3.75,-1.66,-5.13,-2.1,-3.41,-2.35,-4.98
1994-12,2.7,2.53,1.55,1.91,4.03,3.63,-3.45,3.72,-3.1,2.22,1.21,1.86,2.09,-3.21,6.82,-1.41,-5.61,-1.39,2.85,0.13
1995-01,-3.85,-5.91,-1.38,-4.94,0.94,-2.06,-3.44,-1.74,-10.23,1.38,5.97,-6.58,1.03,2.26,0.79,-4.33,-1.83,1.4,-2.43,-0.86
1995-02,4.31,3.6,3.81,4.67,4.03,1.72,2.5,8.54,14.25,4.28,-8.23,-4.85,3.9,2.88,-1.73,2.55,2.87,2.71,6.97,0.77
1995-03,-0.51,-1.07,4.65,3.93,-0.93,-3.13,11.05,-2.86,2.69,0.17,-7.56,9.0,4.32,3.48,-1.1,1.63,-2.27,-2.93,6.05,5.62
1995-04,0.03,6.91,7.12,1.94,4.36,13.75,1.01,4.57,-3.19,3.57,10.7,4.88,4.16,11.33,8.16,1.56,9.44,9.23,2.16,2.92
1995-05,5.33,-2.53,0.53,3.52,4.33,3.03,1.71,1.11,12.57,1.6,0.03,-5.79,1.67,-2.06,-0.96,6.41,4.07,0.58,4.91,1.98
1995-06,2.04,-0.93,0.51,1.63,-1.12,12.62,-1.77,3.38,-1.91,4.91,-2.71,-4.57,1.66,-2.73,4.22,-4.79,1.69,5.07,3.62,0.33
1995-07,0.93,9.89,2.89,2.7,6.54,10.39,3.75,5.23,2.69,3.0,8.26,7.03,5.04,4.55,4.12,1.5,6.15,7.37,0.58,5.7
1995-08,-7.02,2.81,-5.47,-0.77,-5.1,-2.08,-6.34,-4.62,-3.21,-0.38,-3.5,-2.91,-5.3,-3.49,-5.17,-4.67,-3.42,-2.24,-1.86,-1.97
1995-09,0.72,0.42,2.59,0.22,0.96,3.96,-1.44,0.81,5.58,3.64,-2.62,-1.27,4.57,1.31,3.23,1.55,0.4,13.74,7.36,3.18
1995-10,-3.2,-2.05,0.11,-1.25,0.52,-13.47,1.77,-0.34,0.66,-0.53,-4.87,-4.14,-0.3,3.82,-5.28,1.22,-1.86,-2.32,4.36,0.49
1995-11,-2.47,2.48,0.99,3.39,0.24,-2.23,-1.09,-0.39,0.19,1.8,-6.12,4.89,2.53,-2.5,-0.44,1.81,5.57,1.99,0.97,0.75
1995-12,3.99,2.38,6.8,1.11,2.71,-14.72,3.84,3.05,2.94,1.36,8.83,4.88,3.52,0.68,2.54,6.86,4.89,-2.7,4.05,2.75
1996-01,6.47,4.25,2.98,4.83,3.16,-11.65,4.24,4.04,13.87,3.22,5.05,-1.67,0.89,1.17,-1.78,9.71,0.16,-1.97,-5.28,-0.35
1996-02,-0.52,2.74,-0.46,-1.1,1.85,13.56,2.02,1.02,-1.19,0.38,-0.32,-1.5,2.63,1.62,4.34,0.28,6.58,10.02,3.79,1.09
1996-03,-0.48,-0.35,-2.28,2.03,-2.13,-0.05,3.27,0.08,-0.37,3.39,-4.51,3.05,3.71,1.6,1.26,-2.2,-1.44,2.64,8.15,-0.2
1996-04,0.85,4.89,2.17,3.78,-0.71,1.2,2.04,-3.63,0.02,3.85,14.54,5.38,0.68,0.9,5.35,0.2,3.09,0.28,-3.36,2.42
1996-05,4.57,-0.84,1.35,1.32,0.6,9.85,-0.58,2.02,2.9,2.35,2.41,-3.98,4.72,-6.25,0.99,-0.41,0.0,3.12,-3.12,1.42
